company;status;longitude;latitude
Echostar;Freeze;-100.376034;38.628577
Edelman;Freeze;-82.259187;29.759155
Education;Freeze;-86.2763;39.73342
Education First;Freeze;-94.990929;33.088082
Edward Jones ;Freeze;-77.334381;38.665153
Ehealth;Hiring;-98.485983;29.540434
Eight Sleep;Freeze;-73.992125;40.735484
EN Engineering;Hiring;-91.855251;35.774121
Endeavor;Freeze;-98.179875;29.893187
Endress+Hauser;Hiring;-82.929202;41.487813
Enercon;Hiring;-91.053507;35.068231
energy;Hiring;-97.298205;37.676104
Entergy;Freeze;-70.753673;42.226104
Entrust Datacard;Hiring;-99.162683;38.853978
Epicor Software;Freeze;-74.332241;40.598389
Epsilon;Freeze;-76.993541;38.922373
Equinox Fitness;Freeze;-118.348977;34.101131
Estée Lauder ;Freeze;-98.422877;29.557297
eurofins;Hiring;-74.817165;40.425037
Everland;Freeze;-73.977656;40.720564
Everlane;Freeze;-73.977656;40.720564
