amount;number;location1;location2;location3
1012;19;France;Île-de-France;Paris
100;1;Palaiseau;Île-de-France;France
190;4;Cergy;Île-de-France;France
450;12;Vincennes;Île-de-France;France
1361;97;Herlies;Hauts-de-France;France
585;19;France;Île-de-France;Mantes-la-Jolie
190;5;Auvergne-Rhone-Alpes;Irigny;France
20;1;Cagnes-sur-Mer;Provence-Alpes-Côte d'Azur;France
25112;865;France;Rethel;Grand Est
120;2;Villeneuve-le-Roi;Île-de-France;France
260;5
2270;41;Brittany;Sulniac;France
8440;54
120;7;Poitiers;Nouvelle-Aquitaine;France
950;13;Toulon;Provence-Alpes-Côte d'Azur;France
601;7;France;Provence-Alpes-Côte d'Azur;Marseille
230;3
50;4
10740;295
1036;27;Hauts-de-France;Lille;France
375;5;France;Île-de-France;Paris
280;11;France;Île-de-France;Paris
2025;62;Bruxelles;Saint-Josse-ten-Noode;Belgique
3;1
355;24
50;1;Dakar;Senegal
9210;98
210;7
4795;47;Chevilly-Larue;Île-de-France;France
220;5
1845;46;Die;Auvergne-Rhone-Alpes;France
330;4;Auvergne-Rhone-Alpes;Voiron;France
5750;153;Saint-Dizier;Grand Est;France
650;13;Saint-Denis;Île-de-France;France
7879;232;Meaux;Île-de-France;France
2767;77
572;52;France;Auvergne-Rhone-Alpes;Lyon
832;17
440;5
120;3
2860;49;Nice;Provence-Alpes-Côte d'Azur;France
425;13;France;Île-de-France;Paris
2275;27;Île-de-France;Rosny-sous-Bois;France
40;1;Côte d'Ivoire;District Autonome d'Abidjan;Abidjan
450;12
1605;37;France;Grand Est;Void-Vacon
279;37;Occitanie;Nîmes;France
795;25
20;1
1280;30;Senlis;Hauts-de-France;France
2260;66
65;4;Aureilhan;Nouvelle-Aquitaine;France
1663;57;Douvrend;Normandie;France
440;13;France;Provence-Alpes-Côte d'Azur;Saint-Rémy-de-Provence
1190;40
2165;67;Brive-la-Gaillarde;Nouvelle-Aquitaine;France
800;19
4125;80;Choisy-le-Roi;Île-de-France;France
8210;149;Le Chesnay;Île-de-France;France
160;5;France;Île-de-France;Paris
9963;138;Troyes;Grand Est;France
250;9
290;18;France;Wissembourg;Grand Est
3960;57;Normandy;Mezidon-Canon;France
620;9;Hyères;Provence-Alpes-Côte d'Azur;France
520;21;Montpellier;Occitanie;France
1165;29
960;28;Sainte-Marie;Réunion;[no name]
330;13;Fort-de-France;Martinique
62886;1394;Strasbourg;Grand Est;France
1560;28;Neuchâtel;Suisse
100;8;Raimbeaucourt;Hauts-de-France;France
220;7;Crest;Auvergne-Rhône-Alpes;France
1030;35;Corse;Olmeta-di-Tuda;France
50;3;Saint-Laurent-Medoc;Nouvelle-Aquitaine;France
2876;63;Nice;Provence-Alpes-Côte d'Azur;France
330;7;France;Auvergne-Rhone-Alpes;Lyon
335;7
1610;49
2080;50
1850;43;Auvergne-Rhône-Alpes;France
1855;31
265;7;France;Île-de-France;Paris
7523;22;Bruxelles;Woluwe-Saint-Lambert;Belgique
2200;36;Lézinnes;Bourgogne-Franche-Comté;France
160;5;France
3070;91;Nouvelle-Aquitaine;Bordeaux;France
635;18
1245;26;Pierrefitte-sur-Seine;Île-de-France;France
570;5;France;Auvergne-Rhone-Alpes;Lyon
2672;55;France;Île-de-France;Paris
1615;42
450;12;Portet-sur-Garonne;Occitanie;France
5;1
30;1;France;Île-de-France;Paris
365;13;Saint-Lys;Occitanie;France
3407;98;France;Île-de-France;Paris
320;10
840;24
20;2;Hauts-de-France;Rang-du-Fliers;France
5;1;Tarascon-sur-Ariege;Occitanie;France
5;1
1420;30;Occitanie;Nîmes;France
550;11;Nanterre;Île-de-France;France
1;1
125;4
30;2;Nouvelle-Aquitaine;Bordeaux;France
6970;162;Occitanie;Sussargues;France
270;9;France;Grand Est;Charleville-Mézières
140;4
225;5;Dakar;Senegal
40;2;France;Auvergne-Rhone-Alpes;Lyon
800;10Participaciones;France;Île-de-France;Paris
680;11;France;Île-de-France;Paris
200;6;Côte d'Ivoire;District Autonome d'Abidjan;Abidjan
945;42;Compiègne;Hauts-de-France;France
30;1;Auvergne-Rhone-Alpes;Crolles;France
4650;100
210;9;France
90;5;Brittany;Rennes;France
10;2;France;Île-de-France;Paris
580;23;Amiens;Hauts-de-France;France
370;12;France;Provence-Alpes-Côte d'Azur;Marseille
2880;56;Boulogne-Billancourt;Île-de-France;France
4810;57;Corse;Bonifacio;France
250;7;Provence-Alpes-Côte d'Azur;Allauch;France
230;9;Épernay;Grand Est;France
6601;129;Strasbourg;Grand Est;France
680;9
8;2;Île-de-France;France
710;15;Bourgogne-Franche-Comté;Valentigney;France
352;20;Melun;Île-de-France;France
155;10;Auvergne-Rhône-Alpes;Clermont-Ferrand;France
1247;39;Amiens;Hauts-de-France;France
50;5;France
320;12;Nouvelle-Aquitaine;Périgueux;France
70;5;France;Brittany;Lamballe
2631;36
1280;26;Bruxelles;Molenbeek-Saint-Jean;Belgique
780;30;France;Nouvelle-Aquitaine;Grand Poitiers
261;16;France;Provence-Alpes-Côte d'Azur;Chateauneuf-les-Martigues
405;14;Rimini;Italie;Emilia-Romagna
35;3
3075;67;Auvergne-Rhône-Alpes;Courpière;France
27529;607;Clermont-Ferrand;Auvergne-Rhone-Alpes;France
4170;24;Ecuador;Quito;Provincia de Pichincha
855;27;Auvergne-Rhône-Alpes;Saint-Laurent-du-Pont;France
80;3;Île-de-France;Viry-Châtillon;France
470;23
190;13;Wallonia;Belgium;Binche
290;10;France;Mortagne-sur-Sèvre;Pays de la Loire
165;7;Nouvelle-Aquitaine;Bordeaux;France
293;22;Espagne;Îles Canaries;Adeje
250;7
8590;171
300;7;Hésingue;Grand Est;France
19098;206;France;Île-de-France;Paris
5835;87;Castanet-Tolosan;Occitanie;France
680;16;Brussels;Belgium;Brussels Capital
822;33;France;Grand Est;Saint-Brice-Courcelles
35;3
8615;164;France;Nancy;Grand Est
450;9;Brussels;Belgium;Brussels Capital
590;10
800;29;France;Provence-Alpes-Côte d'Azur;Fréjus
38;5
3036;110;Île-de-France;Nemours;France
20;1;Auvergne-Rhone-Alpes;Chambéry;France
10;1;France;Provence-Alpes-Côte d'Azur;Marseille
700;38;France;Auvergne-Rhone-Alpes;Lyon
280;11
250;2;France;Île-de-France;Montigny-les-Cormeilles
230;9;Toulouse;Occitanie;France
725;25
1761;46
2216;52;Auvergne-Rhône-Alpes;Contamine-sur-Arve;France
150;3
185;8
2595;74;Besançon;Bourgogne-Franche-Comté;France
55;3;Mons;Wallonie;Belgique
1120;38;France;Angers;Pays de la Loire
1125;30
650;9;France;Nouvelle-Aquitaine;Dussac
40;2
285;16
2485;74;La Ciotat;Provence-Alpes-Côte d'Azur;France
20;1;France;Île-de-France;Mantes-la-Jolie
83;9;Barranquilla;Colombia;Atlántico
225;15;Perpignan;Occitanie;France
895;24
535;3;Grand Est;France
440;15;Auvergne-Rhone-Alpes;Volvic;France
295;15;France;Île-de-France;Paris
1385;30;France;Île-de-France;Paris
1550;61;Auvergne-Rhône-Alpes;Saint-Étienne;France
590;16;France;Nancy;Grand Est
230;5;France;Le Mans;Pays de la Loire
50;1;Forbach;Grand Est;France
20;1;Lunéville;Grand Est;France
4220;142;Charenton-le-Pont;Île-de-France;France
205;9
478;27
50;3;Mayotte;Dzoumonye
95;5
1478;52;Thailand;Phrae
990;11;Perpignan;Occitanie;France
100;1;Morocco;Marrakesh-Safi;Marrakesh
170;3;Senlis;Hauts-de-France;France
130;4;Sarreguemines;Grand Est;France
160;4;France
180;8;France;Île-de-France;Paris
1925;51;France;Île-de-France;Paris
215;10;France;Haguenau;Grand Est
1110;34;France;Nantes;Pays de la Loire
550;6;Toulouse;Occitanie;France
75;6
4147;52
290;14;Bures-sur-Yvette;Île-de-France;France
130;4;Dieppe;Normandie;France
733;14
160;3
171;10;Cergy;Île-de-France;France
2998;68;France;Auvergne-Rhone-Alpes;Meyzieu
805;17
180;8;Saint-Denis;Réunion
485;24;Montpellier;Occitanie;France
100;3;Ermont;Île-de-France;France
60;2;Nouvelle-Aquitaine;Biarritz;France
800;37
20;1;Chelles;Île-de-France;France
150;8;Riedisheim;Grand Est;France
30;1;Meaux;Île-de-France;France
126;11;France
538;17;Odratzheim;Grand Est;France
495;24
45;2;France;Île-de-France;Paris
30;1;France;Nantes;Pays de la Loire
70;2
5;1
628;36;Normandie;Caen;France
2;1;Île-de-France;France
4703;237
62590;1310;Corse;Ajaccio;France
560;16;Rungis;Île-de-France;France
50;2;France;Île-de-France;Paris
56;1;France;Île-de-France;Paris
1052;20;Hauts-de-France;Lille;France
4281;121
10;1;France
3535;42
1478;21;France;Île-de-France;Paris
1420;12
50;2
2127;32
1127;36;Couches;Bourgogne-Franche-Comte;France
130;8;France
50;3
25;2;France
1040;17;Saint-Maur-des-Fossés;Île-de-France;France
10;1;France;Hauts-de-France;Walincourt-Selvigny
60;2
10;1;France;Île-de-France;Paris
450;6
1970;49;Provence-Alpes-Côte d'Azur;Grasse;France
60;2;Brittany;Rennes;France
810;8
2020;31;Menton;Provence-Alpes-Côte d'Azur;France
2390;48
10;1;Grand Est;France
355;12;Auvergne-Rhône-Alpes;France;Lyon
10;1
2670;51;Bourgogne-Franche-Comté;Mâcon;France
490;14Participaciones;Saint-Maur-des-Fossés;Île-de-France;France
1;1
140;7;Figeac;Occitanie;France
1180;7;Chaville;Île-de-France;France
10;2;Villedoux;Nouvelle-Aquitaine;France
9945;161;Auvergne-Rhône-Alpes;Rillieux-la-Pape;France
11;2;Béziers;Occitanie;France
980;26;Île-de-France;Viry-Châtillon;France
1150;19;Annemasse;Auvergne-Rhône-Alpes;France
210;9;Bourgogne-Franche-Comte;Mâcon;France
15;1
1560;28
30;1;Moyeuvre-Grande;Grand Est;France
4010;92;Guadeloupe;Les Abymes
290;10;Nouvelle-Aquitaine;Mignaloux-Beauvoir;France
60;3;Besançon;Bourgogne-Franche-Comte;France
4;1;Brittany;Rennes;France
19360;314;Auvergne-Rhone-Alpes;Poisy;France
1313;46
1195;23;France;Île-de-France;Paris
